huc12,name,areaSqkm,nonContributingAreaSqkm,statesfps,humod
040500011507,Huston Ditch-North Branch Elkhart River,74.85,0,18,CD
040500011601,Rivir Lake-Forker Creek,49.05,0,18,CD
040500011602,Winebrenner Branch-Carrol Creek,49.8,0,18,CD
040500011603,Skinner Lake-Croft Ditch,64.62,0,18,NM
040500011604,Muncie Lake-South Branch Elkhart River,42.67,0,18,NM
040500011605,Diamond Lake-South Branch Elkhart River,92.73,0,18,NM
040500011701,Village Lake-Turkey Creek,41.02,0,18,NM
040500011702,Lake Wawasee-Turkey Creek,57.58,0,18,NM
040500011703,Wabee Lake-Hammond Ditch,39.47,8.27987556,18,NC
040500011704,Hoopingarner Ditch-Turkey Creek,55.09,0,18,NM
040500011705,Coppes Ditch-Turkey Creek,57.78,0,18,CD
040500011706,Berlin Court Ditch,48.72,0,18,CD
040500011707,Omar Neff Ditch-Turkey Creek,51.38,0,18,"CD,ID"
040500011708,Dausman Ditch-Turkey Creek,76.95,0,18,CD
040500011709,Swoveland Ditch-Turkey Creek,47.54,0,18,CD
040500011801,Phillips Ditch-Stony Creek,52.7,5.71011946,18,NC
040500011802,Indian Lake-Elkhart River,81.71,0,18,NM
040500011803,Headwaters Solomon Creek,61.37,0,18,NM
040500011804,Hire Ditch-Solomon Creek,57.45,0,18,CD
040500011805,Whetten Ditch-Elkhart River,73.72,0,18,NM
040500011901,Hoover Ditch-Rock Run Creek,55.34,1.9020242,18,"CD,NC"
040500011902,Horn Ditch-Rock Run Creek,57.28,2.48477204,18,"CD,NC"
040500011903,Headwaters Yellow Creek,85.62,0,18,NM
040500011904,Goshen Dam Pond-Elkhart River,94.14,0,18,NM
040500012001,Washington Tap Ditch-Saint Joseph River,42.23,0,"18,26",NM
040500012002,Indian Creek-Pine Creek,82.46,22.77572808,18,"CD,NC"
040500012003,Puterbaugh Creek,43.5,0,"18,26",NM
040500012004,Sheep Creek-Saint Joseph River,85.95,0,"18,26",NM
040500012101,Grimes Ditch,54.02,0,18,CD
040500012102,Wisler Ditch-Baugo Creek,60.72,0,18,"CD,PS"
040500012103,Township Ditch-Baugo Creek,42.24,0,18,CD
040500012104,Rogers Ditch-Baugo Creek,50.57,0,18,CD
040500012201,Cebas Creek,94.75,0,"18,26",NM
040500012202,City of Elkhart-Saint Joseph River,51.65,0,18,NC
040500012203,Eller Ditch-Saint Joseph River,60.43,0,18,"CD,NC"
040500012204,Willow Creek-Saint Joseph River,53.03,0,18,NC
040500012205,Auten Ditch-Saint Joseph River,91.25,0,18,"CD,NC,PS"
040500012206,Judy Creek,96.9,0,"18,26",CD
040500012207,Pinhook Lake-Saint Joseph River,75.65,0,"18,26",NM
040500012208,Dutch Corners-Saint Joseph River,44.56,0,"18,26",NM
040500012209,Brandywine Creek,73.75,0,"18,26",NM
040500012210,City of Niles-Saint Joseph River,35.44,0,26,NM
040500012301,Spring Creek-Dowagiac River,114.7,0,26,NM
040500012302,Silver Creek,31.57,0,26,NM
040500012303,Bunker Lake-Dowagiac Creek,57.83,0,26,NM
040500012304,La Grange Lake-Dowagiac Creek,134.23,0,26,NM
040500012305,Indian Lake-Dowagiac River,142.1,0,26,NM
040500012306,Pokagon Creek,89.36,0,26,NM
040500012307,Peavine Creek-Dowagiac River,81.79,0,26,NM
040500012308,McKinzie Creek-Dowagiac River,82.22,0,26,NM
040500012401,Lawton Drain-South Branch Paw Paw River,67.86,0,26,NM
040500012402,East Branch Paw Paw River,87.6,0,26,NM
040500012403,Cambell Creek-North Branch Paw Paw River,69.66,0,26,"GC,CD"
040500012404,Chase Lake-Brandywine Creek,79.81,0,26,NM
040500012405,South Branch Paw Paw River,107.75,0,26,NM
040500012406,Hayden Creek-North Branch Paw Paw River,98.57,0,26,NM
040500012501,Brush Creek,106.2,0,26,NM
040500012502,Headwaters Paw Paw River,74.88,0,26,NM
040500012503,Mud Lake Drain,40.71,0,26,NM
040500012504,Hog Creek-Paw Paw River,72.51,0,26,NM
040500012505,Paw Paw Lake,42.13,0,26,"GC,CD"
040500012506,Mill Creek,74.94,0,26,NM
040500012507,Ryno Drain-Paw Paw River,87.37,0,26,NM
040500012508,Blue Creek-Paw Paw River,84.23,0,26,NM
040500012509,Ox Creek-Paw Paw River,62.38,0,26,NM
040500012601,McCoy Creek,66.95,0,"18,26",NM
040500012602,Webster Lake-Saint Jospeh River,95.66,0,26,NM
040500012603,Lake Chapin-Saint Joseph River,63.94,0,26,DM
040500012604,Love Creek-Saint Joseph River,72.84,0,26,NM
040500012605,Lemon Creek-Saint Joseph River,134.4,0,26,NM
040500012606,Pipestone Creek,48.29,0,26,NM
040500012607,Hickory Creek,137.3,0,26,NM
040500012608,Big Meadow Drain-Saint Joseph River,68.75,0,26,NM
